"","X","UNITID","INSTNM","STABBR","CITY","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","LONGITUDE","LATITUDE","UGDS_WHITE","UGDS","ADM_RATE","COSTT4_A","MD_EARN_WNE_P10","C100_4","PCTFLOAN","CIP_SUM","WEST","MIDWEST","NORTHEAST","SOUTH","MAJOR_CITY","MINORATIO","MINOQ1","MINOQ2","MINOQ3","MINOQ4","STU_APPLIED","WM","WN","MM","MN","NM","NN","SM","SN","cluster"
"31",108,105330,"Northern Arizona University","AZ","Flagstaff",0.0336,0.2034,0.0165,0.0272,0.0025,0.0517,0.0482,0.006,-111.657653,35.180095,0.6109,23189,0.8099,22561,39100,0.3319,0.5376,56,1,0,0,0,0,0.3891,0,1,0,0,28631.9298678849,0,1,0,0,0,0,0,0,2
"32",116,105589,"Prescott College","AZ","Prescott",0.0198,0.0176,0.022,0.0352,0,0.0352,0.0485,0.1211,-112.476509,34.5445,0.7004,454,0.6873,41256,33300,0.1685,0.6073,32,1,0,0,0,0,0.2994,1,0,0,0,660.555798050342,0,1,0,0,0,0,0,0,2
"33",123,105899,"Arizona Christian University","AZ","Phoenix",0.0855,0.1661,0.0113,0.0113,0.0081,0.0548,0.021,0.0403,-112.026211,33.595117,0.6016,620,0.5673,33945,33500,0.4627,0.463,9,1,0,0,0,1,0.3984,0,1,0,0,1092.89617486339,1,0,0,0,0,0,0,0,1
"34",129,106245,"University of Arkansas at Little Rock","AR","Little Rock",0.2703,0.0699,0.0225,0.0034,0,0.0755,0.0283,3e-04,-92.341835,34.726644,0.5297,7942,0.5928,22521,33900,0.0814,0.4775,41,0,0,0,1,1,0.4702,0,1,0,0,13397.4358974359,0,0,0,0,0,0,1,0,7
"35",135,106342,"Lyon College","AR","Batesville",0.0681,0.0623,0.0159,0.0145,0,0,0.0333,0.0638,-91.628115,35.778934,0.742,690,0.6142,33605,38600,0.4902,0.674,15,0,0,0,1,0,0.2579,1,0,0,0,1123.4125691957,0,0,0,0,0,0,0,1,8
"36",138,106397,"University of Arkansas","AR","Fayetteville",0.05,0.0692,0.0251,0.0117,9e-04,0.0316,0.0279,0.0037,-94.178214,36.06153,0.7798,21405,0.6204,20350,43400,0.3722,0.4026,28,0,0,0,1,1,0.2201,1,0,0,0,34501.9342359768,0,0,0,0,0,0,1,0,7
"37",139,106412,"University of Arkansas at Pine Bluff","AR","Pine Bluff",0.9281,0.0146,0.0033,0.0013,0,4e-04,0.0071,0.0021,-92.021263,34.242192,0.0431,2391,0.3868,15409,27200,0.0977,0.7422,26,0,0,0,1,0,0.9569,0,0,0,1,6181.48914167528,0,0,0,0,0,0,0,1,8
"38",141,106458,"Arkansas State University-Main Campus","AR","Jonesboro",0.1448,0.0235,0.0074,0.0043,0.0013,0.0174,0.0556,0.0085,-90.680478,35.842779,0.7372,9139,0.7239,19359,31700,0.202,0.5342,39,0,0,0,1,0,0.2628,1,0,0,0,12624.6719160105,0,0,0,0,0,0,0,1,8
"39",142,106467,"Arkansas Tech University","AR","Russellville",0.0897,0.0531,0.0119,0.0099,8e-04,0.0242,0.0353,0,-93.13233,35.295227,0.7751,8845,0.8626,16518,33800,0.2438,0.4517,52,0,0,0,1,0,0.2249,1,0,0,0,10253.8836076977,0,0,0,0,0,0,0,1,8
"40",147,106704,"University of Central Arkansas","AR","Conway",0.1969,0.0434,0.0168,0.0048,0.001,0.0336,0.0379,0.0112,-92.45931,35.078196,0.6545,9232,0.9426,18354,36500,0.214,0.5125,27,0,0,0,1,0,0.3456,0,1,0,0,9794.18629323149,0,0,0,0,0,0,0,1,8
"41",148,106713,"Central Baptist College","AR","Conway",0.2221,0.0419,0.0013,0.014,0.0013,0.0152,0.0317,0.0025,-92.444102,35.084574,0.6701,788,0.5697,21616,31300,0.3261,0.5913,14,0,0,0,1,0,0.33,1,0,0,0,1383.1841319993,0,0,0,0,0,0,0,1,8
"42",157,107044,"Harding University","AR","Searcy",0.0397,0.0308,0.008,0.0071,2e-04,0.0161,0.064,0.0042,-91.729008,35.249605,0.8299,4485,0.9912,26484,38000,0.4337,0.5526,23,0,0,0,1,0,0.1701,1,0,0,0,4524.81840193705,0,0,0,0,0,0,0,1,8
"43",158,107071,"Henderson State University","AR","Arkadelphia",0.2365,0.0422,0.0071,0.0015,0,0.0453,0.0096,9e-04,-93.060313,34.127792,0.6569,3226,0.6278,18679,34500,0.1851,0.5964,23,0,0,0,1,0,0.3431,1,0,0,0,5138.57916533928,0,0,0,0,0,0,0,1,8
"44",159,107080,"Hendrix College","AR","Conway",0.0492,0.0492,0.0567,0.0166,8e-04,0.0068,0.0408,0.0045,-92.442021,35.09972,0.7753,1322,0.8282,52536,40500,0.6605,0.4703,17,0,0,0,1,0,0.2246,1,0,0,0,1596.23279401111,0,0,0,0,0,0,0,1,8
"45",162,107141,"John Brown University","AR","Siloam Springs",0.0253,0.0591,0.0121,0.0178,0,0.0339,0.0597,0.0304,-94.559088,36.191077,0.7618,1742,0.6978,34776,46700,0.5212,0.5067,23,0,0,0,1,0,0.2383,1,0,0,0,2496.41731155059,0,0,0,0,0,0,0,1,8
"46",172,107512,"Ouachita Baptist University","AR","Arkadelphia",0.079,0.0399,0.0089,0.0069,7e-04,0,0.022,0,-93.052442,34.125045,0.8426,1455,0.7061,32560,37400,0.5074,0.5431,19,0,0,0,1,0,0.1574,1,0,0,0,2060.61464381816,0,0,0,0,0,0,0,1,8
